T_MeV,stable_sigma_GeV3,stable_free_energy,candidate_count,sigma_branch1_GeV3,free_energy_branch1,sigma_branch2_GeV3,free_energy_branch2,sigma_branch3_GeV3,free_energy_branch3,sigma_branch4_GeV3,free_energy_branch4,sigma_branch5_GeV3,free_energy_branch5,sigma_branch6_GeV3,free_energy_branch6,sigma_branch7_GeV3,free_energy_branch7,sigma_branch8_GeV3,free_energy_branch8,sigma_branch9_GeV3,free_energy_branch9
196.0,-2.530125023520253e-235,0.0,1.0,-5.4925451715e-314,0.0,-1.700199817e-314,0.0,7.6946332136e-314,0.0,1.33279662767e-313,0.0,0.0,0.0,-5.057574731e-314,0.0,9.899798187e-314,0.0,-2.530125023520253e-235,0.0,2.466871897932247e-234,0.0
197.0,-4.654291979e-314,0.0,1.0,1.34189007895e-313,0.0,4.036761878e-314,0.0,8.849070402e-314,0.0,-4.654291979e-314,0.0,0.0,0.0,1.23107968097e-313,0.0,3.690014654e-314,0.0,1.2445709135648778e-247,0.0,2.929432974609733e-247,0.0
198.0,-1.2878137995129706e-260,0.0,1.0,-4.516789913e-314,0.0,-9.7832589457e-314,0.0,6.481138875e-314,0.0,1.1244798629e-313,0.0,0.0,0.0,-1.870827163e-314,0.0,-9.007585368e-314,0.0,2.1188245366332515e-260,0.0,-1.2878137995129706e-260,0.0
199.0,-9.99992354888715e-274,0.0,1.0,1.09925305334e-313,0.0,-4.8065111174e-314,0.0,1.28387640105e-313,0.0,1.2747175033e-314,0.0,0.0,0.0,4.565877054e-314,0.0,-6.541937082e-314,0.0,-9.99992354888715e-274,0.0,-2.0038757306135727e-274,0.0
200.0,-1.30908820095e-313,0.0,1.0,2.2402717543e-314,0.0,1.16951889296e-313,0.0,-2.3083745846e-314,0.0,-3.071669302e-314,0.0,0.0,0.0,-1.1226345449e-313,0.0,-1.30908820095e-313,0.0,7.836099320629302e-286,0.0,1.6326142459921436e-286,0.0
201.0,-5.5675177597e-314,0.0,1.0,-5.5675177597e-314,0.0,8.47034003e-315,0.0,5.654614938e-314,0.0,7.372048712e-314,0.0,0.0,0.0,-1.9601745026e-314,0.0,2.43320163e-314,0.0,9.949794271043802e-300,0.0,1.4173274651721248e-299,0.0
202.0,-1.36691877847e-313,0.0,1.0,1.3573343307e-313,0.0,-2.0984615525e-314,0.0,-1.36691877847e-313,0.0,1.19000279747e-313,0.0,0.0,0.0,4.6895638136e-314,0.0,-5.9023847847e-314,0.0,-1.03152104845e-313,0.0,5.94993300416e-313,0.0
203.0,-1.14031029066e-313,0.0,1.0,-2.653176627e-314,0.0,5.075994949e-314,0.0,2.975787383e-314,0.0,1.4479167747e-314,0.0,0.0,0.0,-1.14031029066e-313,0.0,1.4453516211e-313,0.0,1.3942922421e-313,0.0,1.4031209394e-314,0.0
203.99999999999997,-1.22723304277e-313,0.0,1.0,6.35844201e-314,0.0,-1.22723304277e-313,0.0,-7.39590931e-314,0.0,-3.483437861e-314,0.0,0.0,0.0,-3.0323045355e-314,0.0,-4.570491806e-314,0.0,-3.1014241865e-314,0.0,-3.5149214303e-314,0.0
204.99999999999997,-1.54821809466e-313,0.0,1.0,-1.54821809466e-313,0.0,-1.441526403e-314,0.0,-1.31261208533e-313,0.0,8.351133665e-314,0.0,0.0,0.0,7.520075428e-314,0.0,1.1090406232e-313,0.0,7.4555322233e-314,0.0,8.502998962e-314,0.0
